ecoregion,n,lags,skill
Cascades,0,1,0.047
Cascades,1,1,0.079
Cascades,2,1,0.017
Cascades,3,1,0.086
Cascades,4,1,0.038
Cascades,5,1,0.034
Cascades,6,1,-0.036
Cascades,7,1,0.145
Cascades,8,1,0.025
Cascades,9,1,-0.033
Cascades,10,1,0.003
Cascades,11,1,0.054
Cascades,12,1,-0.017
Cascades,13,1,0.001
Cascades,14,1,0.117
Cascades,15,1,0.089
Cascades,16,1,0.038
Cascades,17,1,0.043
Cascades,18,1,0.071
Cascades,19,1,-0.008
Cascades,20,1,0.099
Cascades,21,1,0.05
Cascades,22,1,-0.041
Cascades,23,1,0.077
Cascades,24,1,-0.064
Cascades,25,1,-0.0
Cascades,26,1,-0.002
Cascades,27,1,-0.033
Cascades,28,1,-0.043
Cascades,29,1,-0.006
Cascades,30,1,0.091
Cascades,31,1,-0.042
Cascades,32,1,0.129
Cascades,33,1,0.061
Cascades,34,1,0.003
Cascades,35,1,-0.027
Cascades,36,1,0.021
Cascades,37,1,0.066
Cascades,38,1,-0.013
Cascades,39,1,-0.042
Cascades,40,1,-0.014
Cascades,41,1,0.001
Cascades,42,1,0.067
Cascades,43,1,0.003
Cascades,44,1,0.057
Cascades,45,1,0.054
Cascades,46,1,0.028
Cascades,47,1,0.078
Cascades,48,1,0.158
Cascades,49,1,0.113
Cascades,0,3,0.066
Cascades,1,3,0.122
Cascades,2,3,0.095
Cascades,3,3,0.116
Cascades,4,3,0.121
Cascades,5,3,0.032
Cascades,6,3,0.088
Cascades,7,3,0.004
Cascades,8,3,0.074
Cascades,9,3,0.071
Cascades,10,3,0.008
Cascades,11,3,0.018
Cascades,12,3,0.008
Cascades,13,3,0.04
Cascades,14,3,0.05
Cascades,15,3,0.126
Cascades,16,3,0.044
Cascades,17,3,-0.006
Cascades,18,3,0.126
Cascades,19,3,-0.01
Cascades,20,3,0.059
Cascades,21,3,0.057
Cascades,22,3,0.069
Cascades,23,3,0.079
Cascades,24,3,0.058
Cascades,25,3,0.111
Cascades,26,3,0.024
Cascades,27,3,0.081
Cascades,28,3,0.039
Cascades,29,3,0.007
Cascades,30,3,0.06
Cascades,31,3,0.064
Cascades,32,3,0.144
Cascades,33,3,0.021
Cascades,34,3,0.1
Cascades,35,3,0.033
Cascades,36,3,0.078
Cascades,37,3,0.084
Cascades,38,3,0.125
Cascades,39,3,0.157
Cascades,40,3,-0.067
Cascades,41,3,0.109
Cascades,42,3,0.029
Cascades,43,3,0.123
Cascades,44,3,0.14
Cascades,45,3,0.039
Cascades,46,3,-0.043
Cascades,47,3,0.112
Cascades,48,3,0.072
Cascades,49,3,0.037
Cascades,0,6,0.044
Cascades,1,6,0.067
Cascades,2,6,0.147
Cascades,3,6,0.106
Cascades,4,6,-0.026
Cascades,5,6,-0.083
Cascades,6,6,-0.056
Cascades,7,6,0.004
Cascades,8,6,0.146
Cascades,9,6,0.12
Cascades,10,6,-0.026
Cascades,11,6,0.103
Cascades,12,6,0.052
Cascades,13,6,0.139
Cascades,14,6,-0.09
Cascades,15,6,0.065
Cascades,16,6,0.095
Cascades,17,6,0.026
Cascades,18,6,0.176
Cascades,19,6,-0.002
Cascades,20,6,0.023
Cascades,21,6,0.08
Cascades,22,6,0.12
Cascades,23,6,0.126
Cascades,24,6,0.052
Cascades,25,6,0.037
Cascades,26,6,0.007
Cascades,27,6,-0.004
Cascades,28,6,0.1
Cascades,29,6,0.062
Cascades,30,6,0.051
Cascades,31,6,-0.019
Cascades,32,6,0.074
Cascades,33,6,0.053
Cascades,34,6,-0.013
Cascades,35,6,0.101
Cascades,36,6,0.005
Cascades,37,6,-0.005
Cascades,38,6,0.051
Cascades,39,6,0.15
